"sample","name","distribution","size","cpu","real","gc","memory"
26,"filliatre","random",17,546,546,160,568304752
27,"filliatre","random",17,561,561,162,569823424
28,"filliatre","random",17,543,543,158,569714256
29,"filliatre","random",17,541,541,157,568215568
30,"filliatre","random",17,541,541,157,568697264
31,"filliatre","random",17,544,544,158,567976960
32,"filliatre","random",17,543,543,158,567200656
33,"filliatre","random",17,545,545,159,570813424
34,"filliatre","random",17,545,545,158,570222384
35,"filliatre","random",17,545,546,159,567844576
36,"filliatre","random",17,540,540,157,566574144
37,"filliatre","random",17,545,545,159,570002544
38,"filliatre","random",17,543,543,157,568176224
39,"filliatre","random",17,541,542,158,568938496
40,"filliatre","random",17,560,560,160,567196080
41,"filliatre","random",17,546,546,159,571027712
42,"filliatre","random",17,543,543,158,570672880
43,"filliatre","random",17,544,544,158,567103984
44,"filliatre","random",17,548,548,159,568346336
45,"filliatre","random",17,547,547,159,568806720
46,"filliatre","random",17,543,543,158,569355408
47,"filliatre","random",17,544,544,158,569221984
48,"filliatre","random",17,541,541,158,569611840
49,"filliatre","random",17,543,543,158,567955680
50,"filliatre","random",17,543,544,158,569714544
51,"filliatre","random",17,546,546,159,569632720
52,"filliatre","random",17,551,551,161,568672624
53,"filliatre","random",17,548,548,160,567409024
54,"filliatre","random",17,545,545,159,568694960
55,"filliatre","random",17,543,543,157,568109984
56,"filliatre","random",17,558,558,159,568747936
57,"filliatre","random",17,549,549,158,566966752
58,"filliatre","random",17,544,545,159,570667328
59,"filliatre","random",17,549,549,159,570091312
60,"filliatre","random",17,543,543,158,567557360
61,"filliatre","random",17,542,543,158,567988240
62,"filliatre","random",17,544,544,158,571181120
63,"filliatre","random",17,544,544,159,569980192
64,"filliatre","random",17,544,544,159,569826864
65,"filliatre","random",17,540,540,158,570473888
66,"filliatre","random",17,539,539,157,568775568
67,"filliatre","random",17,545,545,157,569451968
68,"filliatre","random",17,541,541,157,569264624
69,"filliatre","random",17,539,539,157,568650224
70,"filliatre","random",17,539,539,156,567407904
71,"filliatre","random",17,539,539,157,568803008
72,"filliatre","random",17,538,538,156,569892880
73,"filliatre","random",17,537,537,156,566097600
74,"filliatre","random",17,538,538,156,567591456
75,"filliatre","random",17,537,537,156,568477040
76,"filliatre","random",17,541,541,158,570233136
77,"filliatre","random",17,545,545,157,567772048
78,"filliatre","random",17,542,542,157,570492848
79,"filliatre","random",17,555,555,158,569005328
80,"filliatre","random",17,537,537,156,569561536
81,"filliatre","random",17,538,538,156,567913696
82,"filliatre","random",17,538,538,156,568962496
83,"filliatre","random",17,540,540,157,568977968
84,"filliatre","random",17,539,539,157,572114016
85,"filliatre","random",17,540,540,157,569269616
86,"filliatre","random",17,539,540,158,570118096
87,"filliatre","random",17,569,569,161,568041264
88,"filliatre","random",17,547,547,160,569373504
89,"filliatre","random",17,544,544,158,568436400
90,"filliatre","random",17,545,545,159,569269696
91,"filliatre","random",17,542,542,158,566968720
92,"filliatre","random",17,546,546,160,567888976
93,"filliatre","random",17,544,544,159,568435408
94,"filliatre","random",17,544,544,159,567456160
95,"filliatre","random",17,543,543,158,568635232
96,"filliatre","random",17,544,544,158,568575568
97,"filliatre","random",17,541,542,157,568385296
98,"filliatre","random",17,547,547,160,569053360
99,"filliatre","random",17,545,545,159,569564480
0,"filliatre","random",18,1434,1434,490,1200287552
1,"filliatre","random",18,1437,1437,491,1204952160
2,"filliatre","random",18,1456,1456,493,1204800224
3,"filliatre","random",18,1434,1434,489,1204542576
4,"filliatre","random",18,1433,1433,490,1202279136
5,"filliatre","random",18,1438,1438,491,1201211424
6,"filliatre","random",18,1453,1453,498,1204221456
7,"filliatre","random",18,1457,1457,492,1202588768
8,"filliatre","random",18,1497,1497,493,1200432288
9,"filliatre","random",18,1440,1440,490,1200765360
