"sample","name","distribution","size","cpu","real","gc","memory"
26,"okasaki","random",17,634,634,183,604206048
27,"okasaki","random",17,641,641,185,604103424
28,"okasaki","random",17,638,638,184,603635168
29,"okasaki","random",17,631,631,183,604157872
30,"okasaki","random",17,623,623,175,603199904
31,"okasaki","random",17,630,630,183,603557952
32,"okasaki","random",17,631,632,183,603704528
33,"okasaki","random",17,632,632,184,605606928
34,"okasaki","random",17,631,631,181,604348016
35,"okasaki","random",17,634,634,181,604971056
36,"okasaki","random",17,626,626,176,602963296
37,"okasaki","random",17,632,632,182,605143152
38,"okasaki","random",17,631,631,182,604010896
39,"okasaki","random",17,624,624,177,602615104
40,"okasaki","random",17,629,630,182,604221824
41,"okasaki","random",17,631,631,184,603287184
42,"okasaki","random",17,634,634,184,603405552
43,"okasaki","random",17,633,633,182,603861712
44,"okasaki","random",17,632,632,182,604448720
45,"okasaki","random",17,631,631,182,604300896
46,"okasaki","random",17,631,631,183,603974208
47,"okasaki","random",17,633,633,183,604704496
48,"okasaki","random",17,631,631,183,603692944
49,"okasaki","random",17,630,630,181,604611328
50,"okasaki","random",17,630,630,182,604250240
51,"okasaki","random",17,623,623,177,602856544
52,"okasaki","random",17,634,634,183,603982544
53,"okasaki","random",17,631,631,182,604272960
54,"okasaki","random",17,621,621,176,602927200
55,"okasaki","random",17,632,632,181,605035888
56,"okasaki","random",17,638,638,184,604401728
57,"okasaki","random",17,630,630,180,605263152
58,"okasaki","random",17,621,621,176,603207024
59,"okasaki","random",17,623,623,178,602683312
60,"okasaki","random",17,628,628,178,602759728
61,"okasaki","random",17,634,634,184,605930400
62,"okasaki","random",17,643,643,185,605503936
63,"okasaki","random",17,627,627,177,602859040
64,"okasaki","random",17,625,625,178,602129504
65,"okasaki","random",17,630,630,182,603718048
66,"okasaki","random",17,634,634,183,604434128
67,"okasaki","random",17,636,636,185,603623760
68,"okasaki","random",17,637,637,184,604304128
69,"okasaki","random",17,633,633,184,604101984
70,"okasaki","random",17,632,632,182,604456944
71,"okasaki","random",17,627,627,177,602947024
72,"okasaki","random",17,644,644,181,602069664
73,"okasaki","random",17,630,630,178,602391200
74,"okasaki","random",17,634,634,184,603980672
75,"okasaki","random",17,631,631,183,604276880
76,"okasaki","random",17,626,626,178,602576496
77,"okasaki","random",17,627,627,177,603020672
78,"okasaki","random",17,650,651,187,603944576
79,"okasaki","random",17,631,631,184,604187504
80,"okasaki","random",17,631,631,184,603621744
81,"okasaki","random",17,635,635,184,603766704
82,"okasaki","random",17,626,626,177,603152768
83,"okasaki","random",17,631,631,181,604948256
84,"okasaki","random",17,635,635,184,603876272
85,"okasaki","random",17,642,643,184,603482256
86,"okasaki","random",17,638,638,184,605335920
87,"okasaki","random",17,634,634,183,604279968
88,"okasaki","random",17,631,631,182,604623872
89,"okasaki","random",17,629,629,182,604280816
90,"okasaki","random",17,637,637,184,603581280
91,"okasaki","random",17,622,622,176,602688496
92,"okasaki","random",17,627,627,182,603572224
93,"okasaki","random",17,629,629,183,603533088
94,"okasaki","random",17,631,631,183,603251760
95,"okasaki","random",17,639,639,184,603351184
96,"okasaki","random",17,628,628,181,603883488
97,"okasaki","random",17,630,630,181,604805520
98,"okasaki","random",17,641,641,185,603557008
99,"okasaki","random",17,631,631,184,603625808
0,"okasaki","random",18,1690,1690,584,1275970160
1,"okasaki","random",18,1680,1680,587,1274075296
2,"okasaki","random",18,1694,1694,590,1276536496
3,"okasaki","random",18,1728,1728,595,1272868352
4,"okasaki","random",18,1676,1676,583,1274918192
5,"okasaki","random",18,1704,1704,589,1271680160
6,"okasaki","random",18,1680,1681,588,1273010128
7,"okasaki","random",18,1677,1677,585,1273145232
8,"okasaki","random",18,1680,1680,586,1273157264
9,"okasaki","random",18,1676,1676,587,1271607712
10,"okasaki","random",18,1693,1694,591,1271968064
11,"okasaki","random",18,1680,1680,581,1276239936
12,"okasaki","random",18,1690,1690,592,1273028144
13,"okasaki","random",18,1687,1687,591,1271348416
14,"okasaki","random",18,1683,1683,584,1276100160
15,"okasaki","random",18,1683,1683,589,1273357120
16,"okasaki","random",18,1710,1710,592,1272884528
17,"okasaki","random",18,1698,1698,591,1272886400
18,"okasaki","random",18,1683,1683,588,1271582432
19,"okasaki","random",18,1686,1687,587,1273987440
20,"okasaki","random",18,1681,1681,588,1273446464
21,"okasaki","random",18,1729,1729,599,1269619168
22,"okasaki","random",18,1673,1674,589,1270423632
23,"okasaki","random",18,1683,1683,585,1274068672
24,"okasaki","random",18,1703,1704,591,1272869312
25,"okasaki","random",18,1712,1712,592,1272509360
26,"okasaki","random",18,1681,1681,585,1273668720
27,"okasaki","random",18,1681,1681,586,1272856992
28,"okasaki","random",18,1681,1682,583,1274288352
29,"okasaki","random",18,1691,1691,592,1272614688
30,"okasaki","random",18,1684,1685,589,1272200128
31,"okasaki","random",18,1677,1677,585,1270412288
32,"okasaki","random",18,1683,1683,588,1270472304
33,"okasaki","random",18,1714,1714,591,1278706832
34,"okasaki","random",18,1676,1676,587,1273002240
35,"okasaki","random",18,1680,1680,586,1272046688
36,"okasaki","random",18,1727,1728,597,1270514080
37,"okasaki","random",18,1709,1709,593,1274374528
38,"okasaki","random",18,1677,1677,583,1275714320
39,"okasaki","random",18,1677,1678,583,1274113168
40,"okasaki","random",18,1677,1677,587,1272571696
41,"okasaki","random",18,1672,1673,585,1272680880
42,"okasaki","random",18,1675,1675,584,1274373456
43,"okasaki","random",18,1722,1722,594,1272148256
44,"okasaki","random",18,1688,1688,586,1273531840
45,"okasaki","random",18,1673,1674,584,1274247184
46,"okasaki","random",18,1673,1673,586,1271144432
47,"okasaki","random",18,1670,1670,580,1274630544
48,"okasaki","random",18,1685,1686,588,1271427680
49,"okasaki","random",18,1685,1686,590,1274191888
50,"okasaki","random",18,1694,1694,591,1273001584
51,"okasaki","random",18,1711,1711,595,1271950144
52,"okasaki","random",18,1687,1688,591,1273120448
53,"okasaki","random",18,1685,1685,593,1272292208
54,"okasaki","random",18,1688,1688,590,1270935488
55,"okasaki","random",18,1683,1683,589,1274238624
56,"okasaki","random",18,1681,1682,587,1275363104
57,"okasaki","random",18,1682,1682,588,1274154304
58,"okasaki","random",18,1686,1686,589,1271736560
59,"okasaki","random",18,1707,1707,593,1273111328
60,"okasaki","random",18,1689,1689,591,1269267376
61,"okasaki","random",18,1688,1688,591,1273245216
62,"okasaki","random",18,1743,1743,602,1271589440
63,"okasaki","random",18,1681,1681,584,1277478240
64,"okasaki","random",18,1707,1707,588,1276420608
65,"okasaki","random",18,1681,1681,590,1270376592
66,"okasaki","random",18,1738,1738,600,1273527632
67,"okasaki","random",18,1683,1683,590,1273084800
68,"okasaki","random",18,1682,1682,589,1272719728
69,"okasaki","random",18,1682,1682,589,1274458400
70,"okasaki","random",18,1696,1697,594,1274314240
71,"okasaki","random",18,1681,1681,589,1273175632
72,"okasaki","random",18,1683,1684,590,1273197600
73,"okasaki","random",18,1689,1690,592,1274692560
74,"okasaki","random",18,1693,1693,592,1272620592
75,"okasaki","random",18,1681,1682,588,1273999488
76,"okasaki","random",18,1746,1746,604,1269426032
77,"okasaki","random",18,1673,1673,580,1275851200
78,"okasaki","random",18,1682,1682,582,1276205984
79,"okasaki","random",18,1677,1678,592,1270219424
80,"okasaki","random",18,1688,1688,589,1271261024
81,"okasaki","random",18,1679,1679,584,1271479360
82,"okasaki","random",18,1674,1674,585,1270963376
83,"okasaki","random",18,1686,1686,588,1274126208
84,"okasaki","random",18,1677,1677,587,1273077312
85,"okasaki","random",18,1672,1673,587,1272397248
86,"okasaki","random",18,1732,1732,596,1272377024
87,"okasaki","random",18,1686,1686,589,1272382400
88,"okasaki","random",18,1703,1704,590,1272224624
89,"okasaki","random",18,1690,1690,585,1274701488
90,"okasaki","random",18,1678,1679,587,1272980640
91,"okasaki","random",18,1744,1745,600,1269742432
92,"okasaki","random",18,1718,1718,592,1274701232
93,"okasaki","random",18,1706,1706,593,1270882416
94,"okasaki","random",18,1686,1687,589,1272741088
95,"okasaki","random",18,1680,1680,582,1276267712
96,"okasaki","random",18,1696,1697,590,1272872416
97,"okasaki","random",18,1678,1678,587,1274051712
98,"okasaki","random",18,1667,1667,582,1273816224
99,"okasaki","random",18,1664,1664,580,1273358416
0,"okasaki","random",19,4495,4496,1866,2679980416
1,"okasaki","random",19,4554,4555,1891,2681006000
2,"okasaki","random",19,4616,4617,1908,2673886400
3,"okasaki","random",19,4509,4510,1879,2676571760
4,"okasaki","random",19,4496,4497,1872,2680165872
5,"okasaki","random",19,4509,4510,1879,2681917344
6,"okasaki","random",19,4553,4554,1892,2674131440
7,"okasaki","random",19,4544,4545,1879,2684859664
8,"okasaki","random",19,4620,4621,1892,2677623200
9,"okasaki","random",19,4488,4488,1872,2675078032
10,"okasaki","random",19,4515,4516,1870,2679415104
11,"okasaki","random",19,4467,4467,1854,2685325600
12,"okasaki","random",19,4457,4458,1857,2681477328
13,"okasaki","random",19,4495,4496,1865,2679445152
14,"okasaki","random",19,4515,4516,1875,2676002416
15,"okasaki","random",19,4492,4492,1865,2677672240
16,"okasaki","random",19,4519,4520,1879,2676157488
17,"okasaki","random",19,4616,4617,1910,2676417776
18,"okasaki","random",19,4600,4601,1904,2680119168
19,"okasaki","random",19,4526,4527,1901,2676768224
20,"okasaki","random",19,4560,4561,1889,2679923200
21,"okasaki","random",19,4562,4563,1874,2684539312
22,"okasaki","random",19,4488,4489,1867,2676598112
23,"okasaki","random",19,4495,4496,1871,2679946080
24,"okasaki","random",19,4665,4666,1911,2679797856
25,"okasaki","random",19,4491,4492,1874,2676575616
26,"okasaki","random",19,4548,4549,1886,2680464080
27,"okasaki","random",19,4550,4551,1904,2676813600
28,"okasaki","random",19,4636,4637,1891,2686446848
29,"okasaki","random",19,4497,4497,1879,2677709024
30,"okasaki","random",19,4609,4610,1905,2673965104
31,"okasaki","random",19,4589,4589,1899,2674190416
32,"okasaki","random",19,4576,4576,1898,2680038304
33,"okasaki","random",19,4547,4548,1889,2679695600
34,"okasaki","random",19,4503,4504,1875,2678271792
35,"okasaki","random",19,4497,4497,1869,2680296304
36,"okasaki","random",19,4630,4630,1902,2678247136
37,"okasaki","random",19,4508,4509,1885,2673241216
38,"okasaki","random",19,4515,4516,1883,2681208832
39,"okasaki","random",19,4540,4541,1894,2677582336
40,"okasaki","random",19,4553,4554,1904,2678140256
41,"okasaki","random",19,4577,4577,1898,2681168752
42,"okasaki","random",19,4554,4555,1893,2676554704
43,"okasaki","random",19,4499,4499,1878,2677290768
44,"okasaki","random",19,4519,4520,1886,2677678336
45,"okasaki","random",19,4519,4520,1886,2681516432
46,"okasaki","random",19,4538,4539,1886,2678369376
47,"okasaki","random",19,4569,4570,1890,2681229344
48,"okasaki","random",19,4518,4519,1873,2678069648
49,"okasaki","random",19,4509,4509,1876,2683138976
50,"okasaki","random",19,4516,4517,1880,2679301760
51,"okasaki","random",19,4497,4497,1875,2678613472
52,"okasaki","random",19,4489,4490,1875,2678679376
53,"okasaki","random",19,4608,4608,1904,2676576736
54,"okasaki","random",19,4544,4544,1889,2676568768
55,"okasaki","random",19,4604,4605,1904,2673492256
56,"okasaki","random",19,4508,4508,1882,2673016480
57,"okasaki","random",19,4493,4494,1865,2685586560
58,"okasaki","random",19,4486,4487,1868,2682338672
59,"okasaki","random",19,4475,4476,1861,2683639552
60,"okasaki","random",19,4482,4483,1854,2687626688
61,"okasaki","random",19,4479,4479,1865,2678070944
62,"okasaki","random",19,4485,4486,1868,2679095104
63,"okasaki","random",19,4576,4577,1884,2679348736
64,"okasaki","random",19,4558,4559,1891,2678895536
65,"okasaki","random",19,4540,4541,1888,2675557552
66,"okasaki","random",19,4492,4492,1874,2679448480
67,"okasaki","random",19,4473,4473,1871,2676342352
68,"okasaki","random",19,4560,4560,1884,2683687472
69,"okasaki","random",19,4489,4489,1871,2676612448
70,"okasaki","random",19,4491,4492,1871,2679987952
71,"okasaki","random",19,4467,4468,1858,2686286608
72,"okasaki","random",19,4573,4574,1894,2673968336
73,"okasaki","random",19,4483,4483,1867,2683725536
74,"okasaki","random",19,4500,4501,1874,2677867760
75,"okasaki","random",19,4503,4504,1879,2673268016
76,"okasaki","random",19,4526,4527,1879,2683488304
77,"okasaki","random",19,4518,4518,1873,2682430272
78,"okasaki","random",19,4608,4609,1895,2679837504
79,"okasaki","random",19,4634,4635,1903,2684685408
80,"okasaki","random",19,4545,4545,1888,2676479328
81,"okasaki","random",19,4481,4482,1870,2678984896
