"sample","name","distribution","size","cpu","real","gc","memory"
95,"okasaki","suffixtree",20,5352,5352,336,2720171856
96,"okasaki","suffixtree",20,5440,5440,345,2720151824
97,"okasaki","suffixtree",20,5355,5355,338,2720081632
98,"okasaki","suffixtree",20,5347,5348,336,2720177936
99,"okasaki","suffixtree",20,5374,5374,338,2720176080
0,"monadic","suffixtree",20,5004,5004,336,2719432800
1,"monadic","suffixtree",20,4970,4970,324,2719402464
2,"monadic","suffixtree",20,4989,4990,331,2719424224
3,"monadic","suffixtree",20,4954,4955,325,2719479824
4,"monadic","suffixtree",20,4969,4969,324,2719408480
5,"monadic","suffixtree",20,4974,4975,329,2719405152
6,"monadic","suffixtree",20,4950,4950,322,2719423200
7,"monadic","suffixtree",20,4984,4984,329,2719411936
8,"monadic","suffixtree",20,4959,4959,324,2719413088
9,"monadic","suffixtree",20,5002,5002,334,2719428000
10,"monadic","suffixtree",20,5008,5008,335,2719467344
11,"monadic","suffixtree",20,5019,5019,338,2719419872
12,"monadic","suffixtree",20,5000,5001,333,2719390496
13,"monadic","suffixtree",20,4955,4955,324,2719400224
14,"monadic","suffixtree",20,5032,5032,337,2719388832
15,"monadic","suffixtree",20,5004,5004,333,2719395040
16,"monadic","suffixtree",20,4955,4956,323,2719402336
17,"monadic","suffixtree",20,5008,5008,339,2719415072
18,"monadic","suffixtree",20,5000,5001,334,2719397728
19,"monadic","suffixtree",20,4965,4965,325,2719466064
20,"monadic","suffixtree",20,4970,4970,326,2719443744
21,"monadic","suffixtree",20,4947,4947,321,2719395360
22,"monadic","suffixtree",20,4996,4996,332,2719428128
23,"monadic","suffixtree",20,4964,4964,324,2719491088
24,"monadic","suffixtree",20,5005,5005,333,2719395616
25,"monadic","suffixtree",20,5069,5069,340,2719419936
26,"monadic","suffixtree",20,5106,5106,325,2719391200
27,"monadic","suffixtree",20,5010,5010,336,2719411744
28,"monadic","suffixtree",20,5000,5000,335,2719426208
29,"monadic","suffixtree",20,4978,4978,325,2719478224
30,"monadic","suffixtree",20,4963,4963,326,2719400160
31,"monadic","suffixtree",20,5023,5023,340,2719401056
32,"monadic","suffixtree",20,4967,4967,324,2719430496
33,"monadic","suffixtree",20,4996,4996,331,2719428576
34,"monadic","suffixtree",20,5001,5001,334,2719477968
35,"monadic","suffixtree",20,4969,4969,327,2719394336
36,"monadic","suffixtree",20,5001,5001,334,2719416480
37,"monadic","suffixtree",20,4957,4958,324,2719394592
38,"monadic","suffixtree",20,5003,5003,335,2719414688
39,"monadic","suffixtree",20,5004,5005,333,2719402784
40,"monadic","suffixtree",20,5028,5029,337,2719395552
41,"monadic","suffixtree",20,5007,5007,335,2719414688
42,"monadic","suffixtree",20,4949,4949,322,2719393312
43,"monadic","suffixtree",20,4976,4977,328,2719413920
44,"monadic","suffixtree",20,4984,4984,329,2719392864
45,"monadic","suffixtree",20,4962,4962,323,2719406816
46,"monadic","suffixtree",20,4952,4952,323,2719405600
47,"monadic","suffixtree",20,4962,4962,324,2719405600
48,"monadic","suffixtree",20,4976,4976,325,2719405600
49,"monadic","suffixtree",20,5077,5078,331,2719405600
50,"monadic","suffixtree",20,5093,5093,333,2719405344
51,"monadic","suffixtree",20,4975,4976,327,2719405856
52,"monadic","suffixtree",20,4990,4991,331,2719405600
53,"monadic","suffixtree",20,5017,5018,336,2719406624
54,"monadic","suffixtree",20,5006,5007,335,2719421920
55,"monadic","suffixtree",20,5031,5031,339,2719411936
56,"monadic","suffixtree",20,5314,5314,331,2719413600
57,"monadic","suffixtree",20,4997,4998,333,2719399712
58,"monadic","suffixtree",20,4976,4976,324,2719385504
59,"monadic","suffixtree",20,4999,4999,331,2719435616
60,"monadic","suffixtree",20,4948,4948,322,2719476560
61,"monadic","suffixtree",20,5018,5019,336,2719380384
62,"monadic","suffixtree",20,5004,5004,337,2719396960
63,"monadic","suffixtree",20,4953,4953,324,2719427552
64,"monadic","suffixtree",20,4981,4981,325,2719423584
65,"monadic","suffixtree",20,4968,4968,327,2719403040
66,"monadic","suffixtree",20,4973,4973,326,2719421920
67,"monadic","suffixtree",20,4969,4969,325,2719411680
68,"monadic","suffixtree",20,4968,4968,327,2719415392
69,"monadic","suffixtree",20,4961,4961,324,2719428000
70,"monadic","suffixtree",20,4973,4973,326,2719418464
71,"monadic","suffixtree",20,5020,5020,337,2719334000
72,"monadic","suffixtree",20,4994,4994,333,2719334256
73,"monadic","suffixtree",20,4984,4984,328,2719444576
74,"monadic","suffixtree",20,5003,5003,334,2719420704
75,"monadic","suffixtree",20,4967,4967,324,2719417056
76,"monadic","suffixtree",20,5002,5002,334,2719419104
77,"monadic","suffixtree",20,4948,4948,322,2719418336
78,"monadic","suffixtree",20,4974,4975,327,2719419872
79,"monadic","suffixtree",20,4965,4965,325,2719418080
80,"monadic","suffixtree",20,5000,5000,332,2719390752
81,"monadic","suffixtree",20,4956,4956,323,2719402080
82,"monadic","suffixtree",20,4962,4962,324,2719391392
83,"monadic","suffixtree",20,4991,4991,332,2719390944
84,"monadic","suffixtree",20,5003,5003,334,2719415008
85,"monadic","suffixtree",20,4946,4946,320,2719393056
86,"monadic","suffixtree",20,4960,4960,326,2719400992
87,"monadic","suffixtree",20,4950,4951,322,2719415072
88,"monadic","suffixtree",20,5011,5011,337,2719396960
89,"monadic","suffixtree",20,4968,4968,325,2719492304
90,"monadic","suffixtree",20,4999,4999,334,2719394080
91,"monadic","suffixtree",20,5025,5025,338,2719405280
92,"monadic","suffixtree",20,4982,4982,328,2719404000
93,"monadic","suffixtree",20,4997,4997,332,2719414752
94,"monadic","suffixtree",20,4976,4977,324,2719413280
95,"monadic","suffixtree",20,4955,4955,324,2719406368
96,"monadic","suffixtree",20,5075,5076,324,2719484432
97,"monadic","suffixtree",20,5161,5161,322,2719399328
98,"monadic","suffixtree",20,5010,5010,334,2719398560
99,"monadic","suffixtree",20,4958,4958,323,2719399200
